"corpus","preloaded/nltenten20_tt3"
"subcorpus","-"
"concordance size","208791"
"query","Query:[lc=""Tilburg"" | lemma_lc=""Tilburg""]"
"Reference","Left","KWIC","Right"
"omroeptilburg.nl","in... </s><s> MOERGESTEL - Dinsdagmiddag is er een zeer grote brand uitgebroken in het bosgebied tussen Moergestel en","Tilburg",". </s><s> Veel brandweereenheden zijn ter plaatse om het vuur te bestrijden. </s><s> TILBURG – Kringloopwinkel La Poubelle opende"
"omroeptilburg.nl","in het bosgebied tussen Moergestel en Tilburg. </s><s> Veel brandweereenheden zijn ter plaatse om het vuur te bestrijden. </s><s>","TILBURG","– Kringloopwinkel La Poubelle opende deze maandag voor het eerst sinds het begin van de coronacrisis weer de deuren. </s><s> De"
"omroeptilburg.nl","tijdens Tilt haar nieuwe dichtbundel zou... </s><s> Deze week gaat Pieter Bon samen met raadslid Koen van der Krieken van D66","Tilburg","op pad naar de ''kennisas'' van Tilburg. </s><s> Waar dat is en waarom we juist daar rondlopen, hoor en zie je in deze aflevering van"
"omroeptilburg.nl","zou... </s><s> Deze week gaat Pieter Bon samen met raadslid Koen van der Krieken van D66 Tilburg op pad naar de ''kennisas'' van","Tilburg",". </s><s> Waar dat is en waarom we juist daar rondlopen, hoor en zie je in deze aflevering van... </s><s> Stel verbod op erkenning en"
"omroeptilburg.nl","de eerdere Turks-Armeense renovaties in Turkije, zijn er nu ook culturele samenwerkingen tussen de twee buurlanden. </s><s>","TILBURG","- Om in deze rare tijd van sociale onthouding wat afleiding te brengen kwamen Tilburgers Olivier Jaspers en Dirk Stolk"
"omroeptilburg.nl","Jaspers en Dirk Stolk met een initiatief: Firewall. </s><s> Dit weekend maken zij 48 uur lang onafgebroken radio vanuit... </s><s>","TILBURG","- Net zoals veel andere festivals en evenementen die in deze periode plaats zouden vinden, gaat ook het bekende"
"omroeptilburg.nl","gaat ook het bekende Tilburgse festival Roadburn dit jaar niet door. </s><s> Tenminste, niet in de normale vorm. </s><s> Om toch een... </s><s>","TILBURG","- De concerten van Heyhoef-Backstage vallen stil, minstens tot juni, en om die reden heeft H-B nu Backstage Backyard"
"benhartman.nl","zij altijd klaarstonden om desgewenst in actie te komen. </s><s> Nu gaan we weer verder met de gegevens van Van Sasse van Ysselt. </s><s>","Tilburg",": Wanneer iemand is overleden, wordt dit aangezegd door aansprekers van beroep, bidders genaamd, die een steek op"
"fransmensonides.nl","; ere wie ere toekomt. </s><s> Voorbij Breda en het onvermijdelijke Gilze-Rijen mijn eerste reisdoel van vandaag; station","Tilburg","Reeshof. </s><s> Het is in 2003 in de dienstregeling opgenomen, tot grote vreugde van de bewoners van deze uithoek, die op bijna"
"fransmensonides.nl",". </s><s> Na een lang, in de dienstregeling opgenomen oponthoud in Boxtel betreden we het viersporige traject naar Eindhoven. </s><s>","Tilburg","Reeshof </s><s> Beeld van Best </s><s> Station Best is nu af; sinds september 2002, alweer. </s><s> Het is een veel ondieper station dan dat van"
"fransmensonides.nl","lezers zich wel zullen kunnen voorstellen. </s><s> Elk kwartier kun je hier de trein nemen naar Eindhoven; elk half uur naar","Tilburg","en elk half uur naar Den Bosch. </s><s> Bijna alles vertrekt van het middenperron, spoor 2 en 3. </s><s> Spoor 1 krijgt alleen de treinen"
"fransmensonides.nl","half uur naar Den Bosch. </s><s> Bijna alles vertrekt van het middenperron, spoor 2 en 3. </s><s> Spoor 1 krijgt alleen de treinen naar","Tilburg","te verwerken, die rechts voorsorteren om straks met de fly-over naar links te kunnen gaan; het perron langs spoor 4"
"harmoniemill.nl","hebben de Millse slagwerkers een A/B-examen Drum & Show / HaFaBra afgelegd aan het Centrum voor Amateurkunst (CvA) in","Tilburg",". </s><s> Frank Lintzen mocht de spits afbijten. </s><s> Na Frank was het Tjeerd Meulepas die aan zijn examen begon. </s><s> Ook hij zei dat,"
"omroeptilburg.nl","<s> We moeten wat gaan winnen, negativiteit helpt niks. </s><s> Hopelijk ga je de sterre van de hemel spelen Labyad.. </s><s> Veel succes.. </s><s>","TILBURG","- Maar liefst tien kampioenen voorlezen uit onze regio streden op 3 maart in de Bibliotheek Wagnerplein in Tilburg een"
"omroeptilburg.nl",".. </s><s> TILBURG - Maar liefst tien kampioenen voorlezen uit onze regio streden op 3 maart in de Bibliotheek Wagnerplein in","Tilburg","een spannende strijd om een plek in de provinciale finale van Read2Me, en Neel Smeijsters van De... </s><s> TILBURG - De"
"omroeptilburg.nl","in Tilburg een spannende strijd om een plek in de provinciale finale van Read2Me, en Neel Smeijsters van De... </s><s>","TILBURG","- De aanhouding werd spannender dan het ooit had mogen worden. </s><s> Agent Koen Simmers had de hulp van zijn collega''s hard"
"omroeptilburg.nl","had de hulp van zijn collega''s hard nodig, maar de noodknop van zijn portofoon weigerde dienst. </s><s> De problemen met het... </s><s>","TILBURG","- Op de campus van Tilburg University verwacht je misschien geen boekenwinkel aan te treffen. </s><s> En dan zeker niet onder de"
"omroeptilburg.nl","''s hard nodig, maar de noodknop van zijn portofoon weigerde dienst. </s><s> De problemen met het... </s><s> TILBURG - Op de campus van","Tilburg","University verwacht je misschien geen boekenwinkel aan te treffen. </s><s> En dan zeker niet onder de grond. </s><s> Toch zit Books 4"
"omroeptilburg.nl","in de LocHal </s><s> In Raad & Daad: Op Straat laat Pieter Bon zich elke week meenemen door een raadslid van Gemeenteraad","Tilburg","naar een plaats in de Gemeente Tilburg die voor hem of haar belangrijk is. </s><s> Zo neemt Eva van Wijngaarden... </s><s> In ons"
"omroeptilburg.nl","laat Pieter Bon zich elke week meenemen door een raadslid van Gemeenteraad Tilburg naar een plaats in de Gemeente","Tilburg","die voor hem of haar belangrijk is. </s><s> Zo neemt Eva van Wijngaarden... </s><s> In ons programma ''Het Andere Normaal'' gaan we op zoek"
"omroeptilburg.nl","bewoner zwaar gewond geraakt. </s><s> Na het incident zijn meerdere mannen gevlucht, maar later is één van hen aangehouden. </s><s>","TILBURG","- Om meer aandacht voor het onderwerp te genereren besloot Studio Waaghals een onderzoek te doen naar"
"omroeptilburg.nl","genderdiversiteit: ''Gender in de blender''. </s><s> De initiators vragen verschillende Tilburgse kunstenaars om werk... </s><s>","TILBURG","- In de provincie Noord-Brabant vonden in het afgelopen jaar 547 geregistreerde cybercrime-delicten plaats. </s><s> In 2018"
"omroeptilburg.nl","geregistreerde cybercrime-delicten plaats. </s><s> In 2018 waren dit er 271, wat betekent dat er een stijging is van 101,9%. </s><s>","Tilburg","had te maken met de... </s><s> 3 weken geleden </s><s> Bekijk </s><s> De muzikale talkshow Notenkrakers, vier keer per jaar op het podium van"
"omroeptilburg.nl",", vier keer per jaar op het podium van Paradox, kon in april niet doorgaan vanwege de coronamaatregelen. </s><s> Maar in Omroep","Tilburg","vond de redactie van het programma een enthousiaste... </s><s> Deze week nemen we je in CulTuur weer even mee terug naar"
"omroeptilburg.nl","zouden willen dat de coronacrisis in vijf minuten voorbij zou zijn, maar dat zal niet gebeuren. </s><s> Wel kunnen we als Omroep","Tilburg","elke dag de situatie kort beschouwen. </s><s> In aflevering 24 spreken we met acteur en... </s><s> In oktober werd onder andere in"
"omroeptilburg.nl","elke dag de situatie kort beschouwen. </s><s> In aflevering 24 spreken we met acteur en... </s><s> In oktober werd onder andere in","Tilburg","het Creativity World Forum georganiseerd. </s><s> Een aantal onderdelen van het programma, waaronder het opnemen van een"
"benhartman.nl","van de vorige eeuw. </s><s> Rolf Janssen maakte een optekening van een identieke tekst en melodie bij de heer van Herwaarden in","Tilburg","Hierna volgt een variant die ik kreeg van de familie van Empel uit Middelrode. </s><s> Op de site www.liederenbank.nl staat"
"omroeptilburg.nl","juni vanwege bijzondere bouwkwaliteit gecertificeerd volgens de internationale passiefhuis-standaard. </s><s> Door... </s><s>","TILBURG","- Het is nog lente, maar de temperaturen in Brabant beginnen al flink te stijgen. </s><s> Het heerlijke warme weer brengt veel"
"omroeptilburg.nl","warme weer brengt veel moois met zich mee, maar helaas ook de terugkomst van de eikenprocessierups. </s><s> In de regio... </s><s>","TILBURG","- Vrijdagmiddag werd in het Vrijheidspark in Tilburg het nieuwe Holocaustmonument overgedragen aan burgemeester"
"omroeptilburg.nl","ook de terugkomst van de eikenprocessierups. </s><s> In de regio... </s><s> TILBURG - Vrijdagmiddag werd in het Vrijheidspark in","Tilburg","het nieuwe Holocaustmonument overgedragen aan burgemeester Theo Weterings. </s><s> Het monument is naar ontwerp van"
